楼盘名称,楼盘位置,单价,总价,面积
中建锦绣蘭庭,槐荫区,,,3室90-100㎡
龙湖新壹街,槐荫区,12000,总价待定,
鲁能领秀城贵和金街,市中区,19000,总价待定,37-52㎡
绿城济南中心,历下区,22000,总价待定,50-98㎡
琪鑫苑,槐荫区,10000,总价待定,1-3室72-151㎡
欧亚大观商都写字楼,市中区,,,
鲁能漫山香墅,市中区,14500,236-457万,3-4室169-269㎡
中凡·鲁鼎广场,天桥区,9800,总价待定,4室42-147㎡
清河溪岸,天桥区,5860,总价待定,
玖珑府,章丘市,,,3-5室125-275㎡
财富中心,历下区,,,
名流广场,长清区,8000,总价待定,
章丘鲁能公馆,章丘市,,,3-4室100-169㎡
克拉公寓,历城区,,,34-49㎡
缇香温泉小镇,章丘市,,,4-5室159-550㎡
齐鲁百老汇,历下区,13500,总价待定,32-103㎡
剑桥府邸,槐荫区,,,2-4室89-158㎡
茗筑一品,历下区,15065,总价待定,2-4室74-182㎡
河泰优山美郡,历城区,6500,58-117万,2-4室90-180㎡
银座中心济南,槐荫区,19444,总价待定,1-4室96-132㎡
西城西进时代中心,槐荫区,10000,总价待定,1485-3200㎡
东鲁凤凰上郡,高新,15500,总价待定,2-4室79-192㎡
财富壹号融悦,槐荫区,13500,总价待定,3-4室95-144㎡
海信贤文中心,高新,11000,总价待定,40-59㎡
豪门又一城,商河县,4000,总价待定,3室90-128㎡
济南世茂摩天城,济阳县,8000,总价待定,3-4室100-160㎡
融汇城玫瑰公馆二期,市中区,12599,总价待定,3-4室92-143㎡
中海御景台,历城区,14000,总价待定,3-4室97-145㎡
银丰财富广场公寓,历下区,12000,总价待定,50-90㎡
福廷御景,平阴县,4600,总价待定,2-3室91-132㎡
圣泽方正园,天桥区,9182,总价待定,2-4室80-160㎡
万科海晏门,历下区,27000,总价待定,
华皓英伦联邦,高新,20500,总价待定,2-4室92-172㎡
梦世界润园,槐荫区,12500,64-78万,3室92-112㎡
名悦山庄,历下区,24000,总价待定,2-7室95-617㎡
百替御园华府,历城区,21000,总价待定,2-5室107-310㎡
重汽翡翠清河,历城区,10705,总价待定,1-3室28-142㎡
四建金海花园,济阳县,,,2-3室92-141㎡
万科金色悦城,天桥区,,,3室97-108㎡
万科海右府,历城区,19000,总价待定,4室194-410㎡
和平大院二期,市中区,10100,总价待定,1-4室67-175㎡
首创奥特莱斯,历城区,,,42-180㎡
三庆汇德公馆,高新,8600,总价待定,
海尔地产云世界,天桥区,19500,总价待定,2-4室83-200㎡
华润中心华润大厦,历下区,,,38-62㎡
中铁·逸都国际,历下区,,,2-4室93-175㎡
绿城蘭悦,历下区,20050,总价待定,
山东高速绿城蘭園,长清区,9000,总价待定,3-4室89-140㎡
丁豪广场,高新,8608,总价待定,3室45-121㎡
绿地新里梵尔赛公馆,天桥区,7500,总价待定,2-3室94-139㎡
尚品燕园,历下区,14000,总价待定,
