公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,算法实习生,应届毕业生,本科,6k-8k,"人工智能,黑科技,刷脸上下班,团队牛"
中诚信征信有限公司,中诚信征信,150-500人,不需要融资,东城区,算法工程师,1-3年,本科,20k-35k,"行业领导者,优美四合院,午餐和零食,周五7小时"
掌阅科技股份有限公司,掌阅,500-2000人,上市公司,朝阳区,算法工程师,3-5年,本科,25k-40k,上市公司，独角兽企业，核心部门，众多大牛
北京智合大方科技有限公司,客知音,15-50人,A轮,东城区,算法工程师,不限,本科,20k-40k,人工智能；技术驱动；大牛带队；福利多多
上海淇毓信息科技有限公司,奇虎360金融,500-2000人,未融资,朝阳区,算法工程师,3-5年,本科,20k-40k,"创新业务,优秀团队,六险一金,带薪假期"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,算法实习生-国际化,不限,本科,4k-6k,六险一金，弹性工作，免费三餐，租房补贴
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,算法专家-美团闪购,3-5年,硕士,25k-45k,技术大牛
小船出海教育科技（北京）有限公司,作业帮,2000人以上,C轮,海淀区,数据挖掘/算法工程师,1-3年,本科,20K-40K,七险一金、免费三餐、住房补贴、年终奖
北京嘀嘀无限科技发展有限公司,滴滴出行,2000人以上,不需要融资,海淀区,算法专家,不限,本科,40k-60k,"上升期业务,技术氛围好,技术沉淀好,空间大"
混沌时代（北京）教育科技有限公司,混沌大学,150-500人,不需要融资,海淀区,高级算法工程师/算法专家,5-10年,本科,30k-50k,"弹性工作,六险一金,子女福利,发展空间"
香格里拉饭店管理（上海）有限公司北京分公司,香格里拉饭店管理（上海）有限公司北京分公司,2000人以上,上市公司,朝阳区,算法工程师,3-5年,本科,20k-40k,"技术牛人,环境宽松,待遇优厚"
上海海知智能科技有限公司,海知智能,50-150人,A轮,海淀区,算法架构师,5-10年,本科,35k-70k,"科技前沿,弹性工作,发展空间大,充分授权"
苏州融畅软件科技有限公司,融畅软件,50-150人,未融资,海淀区,算法专家,5-10年,硕士,45k-80k,业务增速迅猛，资本大咖加持
