公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京多牛互动传媒股份有限公司,多牛传媒,150-500人,上市公司,海淀区,算法经理,5-10年,硕士,20k-40k,"五险一金,周末双休"
北京猎户星空科技有限公司,猎户星空,500-2000人,A轮,朝阳区,算法实习生,不限,硕士,4k-8k,"成长空间,餐补"
北京汇通天下物联科技有限公司,G7,500-2000人,C轮,海淀区,算法工程师,5-10年,本科,20k-30k,"传感器,多融合,算法,图像识别"
北京长亭科技有限公司,长亭科技,150-500人,B轮,海淀区,算法工程师,不限,本科,18k-36k,"带薪年假,工作餐,无限零食,五险一金"
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,算法工程师,3-5年,本科,25k-45k,"人工智能,大牛团队,机会多,妹子多"
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,算法leader,5-10年,硕士,40k-70k,"核心业务,发展空间大"
北京嘀嘀无限科技发展有限公司,滴滴出行,2000人以上,不需要融资,海淀区,高级算法工程师/算法专家,1-3年,本科,20k-40k,"15薪,六险一金,空间大,大牛多"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,算法工程师-NLP,应届毕业生,本科,20k-30k,扁平管理，职业大牛，晋升空间
厦门美柚信息科技有限公司,美柚,500-2000人,D轮及以上,朝阳区,算法工程师&nbsp;,1-3年,本科,25k-50k,高薪
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,海淀区,算法工程师,3-5年,本科,30k-60k,"团队大牛,公司前景"
百度在线网络技术（北京）有限公司,百度,2000人以上,不需要融资,海淀区,算法/高级算法工程师,不限,不限,20k-25k,算法
北京好脉网络信息技术有限公司,北京好脉,50-150人,A轮,海淀区,算法工程师/算法专家,5-10年,本科,20k-40k,"五险一金,地铁周边,双休,弹性工作"
网联清算有限公司,网联,150-500人,不需要融资,西城区,算法工程师,3-5年,本科,25k-50k,"扁平化,平台大,多晋升通道,高福利"
北京小米科技有限责任公司,小米,2000人以上,D轮及以上,海淀区,小米金融-机器学习/算法岗,3-5年,本科,20k-40k,"平台大,牛人多,期权激励"
北京粉笔蓝天科技有限公司,粉笔网,150-500人,不需要融资,朝阳区,算法工程师,5-10年,硕士,35k-70k,"年终奖,旅游基金,健身房,商业保险"
贝壳找房（北京）科技有限公司,贝壳,2000人以上,C轮,海淀区,算法工程师,1-3年,本科,30k-60k,"15薪,13天年假,免费三餐,逢节必过"
上海海知智能科技有限公司,海知智能,50-150人,A轮,海淀区,算法架构师,5-10年,本科,35k-70k,"科技前沿,弹性工作,发展空间大,充分授权"
北京云杉世界信息技术有限公司,美菜网,2000人以上,D轮及以上,朝阳区,算法专家,3-5年,本科,30k-50k,"发展稳健,生鲜电商,大厂"
北京弘道智慧中医技术有限公司,弘道,50-150人,不需要融资,海淀区,算法架构师,3-5年,博士,30k-60k,"五险一金,带薪年假,交通餐补,创业公司"
北京趣拿软件科技有限公司,去哪儿网,2000人以上,不需要融资,海淀区,算法,3-5年,硕士,20k-40k,"薪资福利,核心业务,成长空间"
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,算法专家-美团闪购,3-5年,硕士,25k-45k,技术大牛
北京嘀嘀无限科技发展有限公司,滴滴出行,2000人以上,不需要融资,海淀区,算法专家,3-5年,本科,20k-40k,"核心团队,未来发展,成长迅速"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,算法实习生,不限,硕士,5k-9k,免费三餐，租房补贴，扁平管理，健身瑜伽
北京斗米优聘科技发展有限公司,斗米,500-2000人,B轮,海淀区,算法总监,5-10年,本科,40k-60k,"发展空间,行业领先,七险一金,团队氛围佳"
北京密境和风科技有限公司,花椒直播,150-500人,不需要融资,朝阳区,算法工程师,3-5年,本科,20k-35k,大牛带队 网红食堂 学习成长
车好多旧机动车经纪(北京)有限公司,瓜子二手车直卖网,2000人以上,C轮,海淀区,算法工程师,1-3年,本科,25k-50k,"15薪起,集聚牛人,团队氛围好,不打卡"
贝壳找房（北京）科技有限公司,贝壳,2000人以上,C轮,海淀区,算法工程师,3-5年,本科,30k-50k,"六险二金,包三餐,年终奖,BAT大牛"
浙江天猫技术有限公司,天猫,2000人以上,上市公司,朝阳区,数据挖掘/算法专家-客户运营,1-3年,硕士,20k-40k,"集团重点,待遇丰厚,业界前沿,技术发展"
武汉元光科技有限公司,车来了,150-500人,B轮,朝阳区,算法工程师,1-3年,本科,20k-30k,六险一金、最高18薪、交通补餐补电话补
北京弘道智慧中医技术有限公司,弘道,50-150人,不需要融资,海淀区,算法工程师,1-3年,硕士,20k-36k,"五险一金,午餐补助,交通补助,通讯补贴"
厦门美柚信息科技有限公司,美柚,500-2000人,D轮及以上,朝阳区,算法工程师,3-5年,本科,30k-60k,"发展空间大,团队氛围佳"
慧安金科（北京）科技有限公司,慧安金科,50-150人,A轮,海淀区,算法工程师,5-10年,硕士,20k-40k,"技术大牛,五险一金,无限发展"
北京瑞地科技有限公司,REDEFINE,150-500人,不需要融资,朝阳区,算法工程师,3-5年,本科,25k-40k,"五险一金,补贴,弹性工作,行业大牛"
云粒智慧科技有限公司,云粒智慧,50-150人,不需要融资,西城区,云粒智慧-算法研发,1-3年,硕士,15k-30k,"算法,NLP,图像、语音,数据挖掘"
杭州云脑科技有限公司,云脑科技,50-150人,A轮,朝阳区,算法工程师,3-5年,硕士,18k-36k,"五险一金,零食饮料,弹性工作,硅谷团队"
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,小象事业部-算法专家,3-5年,硕士,45k-65k,新业务发展潜力大
北京嘀嘀无限科技发展有限公司,滴滴出行,2000人以上,不需要融资,海淀区,算法/大数据(J180719005),3-5年,本科,30k-60k,广阔平台 急速成长 诱人福利
北京弘道智慧中医技术有限公司,弘道,50-150人,不需要融资,海淀区,中医药平台-算法工程师,1-3年,硕士,18k-36k,"五险一金,带薪年假,交通餐补,年终绩效"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,NLP算法工程师-算法平台,1-3年,本科,25k-50k,六险一金，弹性工作，免费三餐，租房补贴
